timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739193853412,-1000,java.net.ConnectException: Connection timed out: connect,,java.net.ConnectException: Connection timed out: connect,,,false,,0,0,0,0,null,0,0,0
1739193853451,-1000,java.net.ConnectException: Connection timed out: connect,,java.net.ConnectException: Connection timed out: connect,,,false,,0,0,0,0,null,0,0,0
1739193853510,59,GET - Userts,200,OK,100 Requisições 1-1,text,true,,6969,136,1,1,http://jsonplaceholder.typicode.com/users,55,0,27
1739193854005,48,GET - Userts,200,OK,100 Requisições 1-2,text,true,,6969,136,1,1,http://jsonplaceholder.typicode.com/users,48,0,20
1739193854465,-1000,java.net.ConnectException: Connection timed out: connect,,java.net.ConnectException: Connection timed out: connect,,,false,,0,0,0,0,null,0,0,0
1739193854466,-1000,java.net.ConnectException: Connection timed out: connect,,java.net.ConnectException: Connection timed out: connect,,,false,,0,0,0,0,null,0,0,0
1739193854557,50,GET - Userts,200,OK,100 Requisições 1-3,text,true,,6969,136,1,1,http://jsonplaceholder.typicode.com/users,50,0,20
1739193855105,58,GET - Userts,200,OK,100 Requisições 1-4,text,true,,6969,136,1,1,http://jsonplaceholder.typicode.com/users,58,0,23
1739193855467,-1000,java.net.ConnectException: Connection timed out: connect,,java.net.ConnectException: Connection timed out: connect,,,false,,0,0,0,0,null,0,0,0
1739193855468,-1000,java.net.ConnectException: Connection timed out: connect,,java.net.ConnectException: Connection timed out: connect,,,false,,0,0,0,0,null,0,0,0
1739193855656,100,GET - Userts,200,OK,100 Requisições 1-5,text,true,,6969,136,1,1,http://jsonplaceholder.typicode.com/users,100,0,22
1739193856207,56,GET - Userts,200,OK,100 Requisições 1-6,text,true,,6969,136,1,1,http://jsonplaceholder.typicode.com/users,56,0,22
1739193856470,-1000,java.net.ConnectException: Connection timed out: connect,,java.net.ConnectException: Connection timed out: connect,,,false,,0,0,0,0,null,0,0,0
1739193856471,-1000,java.net.ConnectException: Connection timed out: connect,,java.net.ConnectException: Connection timed out: connect,,,false,,0,0,0,0,null,0,0,0
1739193856755,50,GET - Userts,200,OK,100 Requisições 1-7,text,true,,6969,136,1,1,http://jsonplaceholder.typicode.com/users,50,0,20
